asm_acc	year	geo	source	organism	phenotypes	genotypes	n_genes
NULL	2017	USA	rectal	Klebsiella pneumoniae	amikacin=Susceptible;amoxicillin-clavulanic acid=Resistant;ampicillin=Resistant;cefepime=Susceptible;cefoxitin=Resistant;ceftazidime=Resistant;ceftriaxone=Resistant;ciprofloxacin=Resistant;gentamicin=Susceptible;levofloxacin=Resistant;meropenem=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Resistant	POINT:acrR_V165I;POINT:acrR_Y114F;POINT:gyrA_S83F;POINT:ompK35_N116RfsTer13;POINT:oqxR_D95E;aadA2;blaCARB;blaFOX;blaKPC;blaOKP-B;catB11;cmlA;dfrA19;emrD;fosA;mcr-9.1;oqxA;oqxB;qnrA1;sul1	20
GCA_002239705.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:nfsB_V167GfsTer7;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	20
GCA_002239715.1	2015	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87G;POINT:gyrA_S83Y;POINT:ompK36_D135DGD;POINT:parC_S80I;POINT:pmrB_T140P;aac(6')-Ib-cr;aadA1;aadA2;aph(3')-VI;armA;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;catA1;catB3;dfrA1;dfrA12;dfrA14;emrD;fosA;mph(E);msr(E);oqxA;oqxB;qnrB1;sat2;sul1;tet(D)	31
GCA_002239805.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:mgrB_W20Ter;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aac(6')-Ib;aadA2;arr;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;sul1	23
GCA_002239815.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:mgrB_W20Ter;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aac(6')-Ib;aadA2;arr;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;sul1	23
GCA_002239875.1	2016	Thailand	urine	Klebsiella pneumoniae	ceftriaxone=Resistant	POINT:gyrA_S83I;POINT:parC_S80I;POINT:ramR_Q122Ter;aac(3)-IId;aac(6')-Ib-cr5;blaCTX-M;blaOXA;blaSHV;blaTEM;dfrA14;emrD;fosA;oqxA;oqxB19;qnrB1;tet(A)	16
GCA_022299695.1	2017	USA	rectal	Klebsiella aerogenes	amikacin=Resistant;amoxicillin-clavulanic acid=Resistant;cefepime=Resistant;cefoxitin=Resistant;ceftazidime=Resistant;ceftriaxone=Resistant;ciprofloxacin=Resistant;gentamicin=Susceptible;levofloxacin=Intermediate;meropenem=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83T;aac(6')-Ib-cr5;ampC-Kaer;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaTEM;catB3;dfrA14;emrD;fosA;oqxB;qnrB1;sul2;tet(A)	16
GCA_022299635.1	2017	USA	rectal	Klebsiella pneumoniae	amikacin=Resistant;amoxicillin-clavulanic acid=Resistant;ampicillin=Resistant;cefepime=Resistant;cefoxitin=Resistant;ceftazidime=Resistant;ceftriaxone=Resistant;ciprofloxacin=Resistant;gentamicin=Resistant;levofloxacin=Resistant;meropenem=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:ompK35_K235Ter;aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA14;emrD;fosA;oqxA11;oqxB19;qnrB1;qnrB19;sul2;tet(A)	19
GCA_002246035.1	2017	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	18
GCA_002246045.1	2017	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;POINT:ramR_G96AfsTer27;aac(6')-Ib;aadA1;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	22
GCA_002246075.1	2016	Thailand	rectal swab	Klebsiella pneumoniae	colistin=Resistant	aac(3)-IId;aadA2;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaSHV;dfrA50;emrD;fosA;lnu(F);oqxA3;oqxB19;qnrS1;tet(A)	14
GCA_002246125.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	21
GCA_002246155.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aac(6')-Ib;aadA2;arr;blaCTX-M;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	22
GCA_002246235.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83Y;POINT:ompK35_G134AfsTer11;POINT:parC_S80I;aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;catB3;dfrA14;emrD;fosA;oqxA;oqxB20;qnrB1;sul2	22
GCA_002246245.1	2015	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83Y;POINT:ompK35_G134AfsTer11;POINT:parC_S80I;aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;catB3;dfrA14;emrD;fosA;oqxA;oqxB20;qnrB1;sul2	22
GCA_002246275.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;POINT:pmrB_T157P;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	20
GCA_002246285.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;POINT:pmrB_T157P;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	20
GCA_002246315.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aac(6')-Ib;aadA1;blaCTX-M;blaOXA;blaSHV;blaTEM;emrD;fosA;oqxA;oqxB32;tet(B)	16
GCA_002246325.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	19
GCA_002246365.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aac(6')-Ib;aadA1;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	21
GCA_002246355.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);oqxA;qnrS1;rmtF1;sul1	20
GCA_002246395.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87G;POINT:gyrA_S83Y;POINT:ompK35_A227EfsTer11;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib-cr5;aadA2;aph(3')-VI;armA;blaCTX-M;blaNDM;blaOXA;blaSHV;ble;catB3;dfrA1;dfrA12;dfrA14;emrD;fosA;mph(E);msr(E);oqxA;oqxB;qnrB1;sat2;sul1	27
GCA_002246415.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87G;POINT:gyrA_S83Y;POINT:ompK35_A227EfsTer11;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib-cr5;aadA2;aph(3')-VI;armA;blaCTX-M;blaNDM;blaOXA;blaSHV;ble;catB3;dfrA1;dfrA12;dfrA14;emrD;fosA;mph(E);msr(E);oqxA;oqxB;qnrB1;sat2;sul1	27
GCA_002246435.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aac(6')-Ib;aadA2;arr;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	23
GCA_002246455.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	21
GCA_002246475.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	21
GCA_002246555.1	2017	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;POINT:ramR_D77GfsTer105;aac(6')-Ib-cr5;aadA16;aadA2;arr;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;dfrA27;emrD;fosA;mph(A);mrx(A);oqxA;oqxB32;sul1;tet(A);tet(B)	27
GCA_002246575.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aac(6')-Ib;aadA1;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	19
GCA_002246635.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83Y;POINT:ompK35_G134AfsTer11;POINT:parC_S80I;aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;catB3;dfrA14;emrD;fosA;oqxA;oqxB20;qnrB1;sul2	22
GCA_002246655.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	21
GCA_002246675.1	2016	Thailand	rectal swab	Klebsiella quasipneumoniae subsp. similipneumoniae	ertapenem=Resistant	POINT:acrR_V165I;POINT:acrR_Y114F;POINT:oqxR_D95E;aacA34;aadA1;ant(2'')-Ia;aph(3')-VIa;arr;blaIMP;blaOKP-B;blaOXA;cmlA5;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	19
GCA_002246685.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:mgrB_W20Ter;POINT:ompK35_Y108TerfsTer0;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	21
GCA_002246695.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	19
GCA_002246705.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	aac(6')-Ib;aadA1;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;dfrA14;emrD;fosA;oqxA10;oqxB19;qnrB1;sul2	15
GCA_002246785.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87G;POINT:gyrA_S83Y;POINT:ompK35_A227EfsTer11;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib-cr5;blaCTX-M;blaOXA;blaSHV;catB3;dfrA1;emrD;fosA;oqxA;oqxB;sat2	16
GCA_002246765.1	2017	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Intermediate	POINT:gyrA_S83I;POINT:mgrB_W20Ter;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	22
GCA_002246835.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK36_S230RfsTer11;POINT:parC_S80I;POINT:ramR_A19V;aac(3)-IId;aadA2;aph(3')-Ia;blaDHA;blaSHV;blaTEM;dfrA12;emrD;fosA;oqxA;oqxB;qnrB4;sul1	17
GCA_002246845.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aac(6')-Ib;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	22
GCA_002246875.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:mgrB_Q30Ter;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aac(6')-Ib;aadA1;aadA2;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;emrD;fosA;oqxA;oqxB32;sul1;tet(B)	22
GCA_002246895.1	2015	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87G;POINT:gyrA_S83Y;POINT:ompK36_D135DGD;POINT:parC_S80I;POINT:pmrB_T140P;aac(6')-Ib-cr;aadA1;aadA2;aph(3')-VI;armA;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;catA1;dfrA1;dfrA12;dfrA14;emrD;fosA;mph(E);msr(E);oqxA;oqxB;qnrB1;sat2;sul1;tet(D)	30
GCA_002247365.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK36_A323GfsTer13;POINT:parC_E84K;aac(6')-Ib-cr5;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB32;sul1	19
GCA_002247375.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aac(6')-Ib-cr5;aadA1;aadA16;aadA2;arr;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;dfrA27;emrD;fosA;mph(A);mrx(A);oqxA;oqxB32;qnrB6;sul1;tet(B)	27
GCA_002247385.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_S83I;POINT:ompK35_Y108TerfsTer0;POINT:ompK36_T136TDT;POINT:parC_S80I;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catA1;catB;dfrA12;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;qnrS1;rmtF1;sul1	21
GCA_002247625.1	2015	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Intermediate	aac(3)-IId;aadA2;aph(3')-Ia;blaSHV;emrD;fosA;lnu(F);oqxA;oqxB25;qnrS1;tet(A)	11
GCA_002247645.1	2015	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Intermediate	aac(3)-IId;blaLAP;blaSHV-2A;blaTEM;bleO;emrD;estT;floR;fosA;oqxA;oqxB20;qnrS1;tet(A);tet(X4)	14
GCA_002247665.1	2015	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA14;emrD;fosA;qnrB1;sul2;tet(A)	15
GCA_002247865.1	2014	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaLAP;blaSHV;blaTEM;dfrA1;emrD;fosA;oqxA;oqxB19;qnrS1;sul1;sul2;tet(A)	15
GCA_002247895.1	2014	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	aac(3)-IId;blaCTX-M;blaSHV;blaTEM;dfrA50;emrD;fosA;qnrS1	8
GCA_002247885.1	2014	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaLAP;blaSHV;blaTEM;dfrA1;emrD;fosA;oqxA;oqxB19;qnrS1;sul1;sul2;tet(A)	15
GCA_002248045.2	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	aadA1;aadA2;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaCTX-M;blaSHV;bleO;cmlA1;emrD;estX;floR;fosA;mcr-3.22;mef(B);oqxA;oqxB25;sul2;sul3;tet(A)	20
GCA_002248055.2	2016	Thailand	rectal swab	Klebsiella quasipneumoniae subsp. similipneumoniae	colistin=Resistant	POINT:acrR_V165I;POINT:acrR_Y114F;POINT:oqxR_D95E;aac(3)-IId;aadA1;aadA2;blaCTX-M;blaOKP-B;bleO;cmlA1;dfrA12;emrD;fosA;mcr-3.22;oqxA;oqxB;qnrS1;sul3;tet(A)	19
GCA_002248085.2	2016	Thailand	rectal swab	Klebsiella quasipneumoniae subsp. similipneumoniae	colistin=Resistant	POINT:acrR_V165I;POINT:acrR_Y114F;POINT:oqxR_D95E;aac(3)-IId;blaCTX-M;blaOKP-B;blaTEM;bleO;emrD;fosA;mcr-3.21;oqxA;oqxB;qnrS1;tet(A)	15
GCA_002248105.2	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	POINT:ompK35_E132K;aac(3)-IId;aph(3'')-Ib;aph(3')-IIa;aph(6)-Id;blaCTX-M;blaSHV;blaTEM;ble;bleO;emrD;fosA;mcr-3.21;oqxA;oqxB25;qnrS1;tet(A)	17
GCA_002248115.3	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	colistin=Resistant	POINT:gyrA_S83I;POINT:parC_S80I;aac(3)-IIe;aph(3'')-Ib;aph(6)-Id;blaCMY;blaCTX-M;blaSHV;bleO;dfrA50;emrD;erm(B);floR;fosA;mcr-3.21;mph(A);oqxA10;oqxB19;sul2;tet(A)	20
GCA_002248135.1	2016	Thailand	rectal swab	Klebsiella pneumoniae	colistin=Resistant	aac(3)-IId;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaCTX-M;blaSHV;blaTEM;bleO;dfrA1;emrD;fosA;mcr-3.23;oqxA;oqxB5;qnrS1;sul1;tet(A)	17
GCA_002248425.1	2016	Thailand	urine	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:gyrA_S83I;POINT:parC_S80I;aac(3)-IIe;aac(6')-Ib-cr5;aadA2;aph(3')-Ia;blaCTX-M;blaOXA;blaSHV;catB3;dfrA12;emrD;floR;fosA;mph(A);mrx(A);oqxA;oqxB;qnrS1;sul1;tet(A)	21
GCA_002248435.1	2016	Thailand	urine	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:gyrA_S83I;POINT:mgrB_Q30Ter;POINT:parC_S80I;blaSHV;emrD;fosA;oqxA;oqxB	8
GCA_002248485.1	2016	Thailand	urine	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83Y;POINT:parC_S80I;aac(6')-Ib-cr5;aadA16;arr;blaCTX-M;blaSHV;blaTEM;dfrA27;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;qnrB6;sul1;tet(A)	19
GCA_002248505.1	2016	Thailand	urine	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:parC_E84K;aac(6')-Ib-cr5;aadA2;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB32;sul1	18
GCA_002248525.1	2016	Thailand	urine	Klebsiella pneumoniae	ceftriaxone=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83Y;POINT:ompK35_G134AfsTer11;POINT:parC_S80I;POINT:pmrA_G53S;aac(6')-Ib-cr5;aadA16;arr;blaCTX-M;blaOXA;blaSHV;blaTEM;dfrA27;emrD;fosA;mph(A);mrx(A);oqxA;oqxB20;sul1	20
GCA_002248545.1	2016	Thailand	sputum	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:gyrA_S83I;POINT:parC_S80I;aac(6')-Ib-cr5;blaCTX-M;blaOXA;blaSHV;catB3;dfrA14;emrD;fosA;oqxA;oqxB	12
GCA_002248565.1	2016	Thailand	sputum	Klebsiella quasipneumoniae subsp. similipneumoniae	ceftriaxone=Resistant	POINT:acrR_V165I;POINT:acrR_Y114F;POINT:oqxR_D95E;aac(3)-IIe;aac(6')-Ib-cr5;aadA1;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOKP-B;blaOXA;blaTEM;catA1;catB3;dfrA14;dfrA26;emrD;fosA;oqxA;oqxB;qnrB1;sul2;tet(A)	23
GCA_002248585.1	2016	Thailand	sputum	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:ompK35_E132K;aadA2;aph(3')-Ia;blaCTX-M;blaDHA;blaSHV;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;qnrB4;sul1;tet(D)	16
GCA_002248595.1	2016	Thailand	sputum	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83F;POINT:parC_S80I;POINT:ramR_A19V;aac(3)-IId;aac(6')-Ib-cr5;aadA16;aph(3'')-Ib;aph(6)-Id;arr;blaCTX-M;blaSHV;blaTEM;dfrA27;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;qnrB6;sul1;sul2;tet(A)	24
GCA_002248625.1	2016	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ertapenem=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83F;POINT:ompK35_Q273Ter;POINT:ompK36_D135DD;POINT:parC_E84K;aac(6')-Ib;aadA1;aadA16;aadA2;arr;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA12;dfrA27;emrD;fosA;mph(A);mrx(A);oqxA;oqxB32;qnrB6;sul1;tet(B)	27
GCA_002248635.1	2016	Thailand	sputum	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	aacA16;aadA1;ant(2'')-Ia;aph(3'')-Ib;aph(6)-Id;arr;blaSHV;blaVEB;cmlA5;emrD;fosA;oqxA;oqxB	13
GCA_002248815.1	2014	Thailand	rectal swab	Klebsiella pneumoniae subsp. pneumoniae	ceftriaxone=Resistant	aac(3)-IId;aadA1;aadA2;aph(3')-Ia;blaCTX-M;blaSHV;cmlA1;dfrA12;emrD;fosA;mef(B);oqxA11;oqxB19;sul3;tet(A)	15
